Nr.;Unternehmen;Fachrichtung;Max. Teilnehmer;Max. Veranstaltungen;Frühester Zeitpunkt
1;Zentis;Industriekaufleute;20;3;A
2;Babor  Beauty Group;Industriekaufleute;20;3;A
3;EVA Konzern(Stawag, RegioIT, Aseag);Industriekaufleute;20;3;A
4;RWTH Aachen;Kaufleute für Büromanagement;20;5;A
5;Lidl;Verkäufer/Kfm. im Einzelhandel/Abiturientenprogramm im Verkauf/duales Bachlorstudium BWL-Interntional Business;20;2;A
6;Sparkasse Aachen;Bankkaufleute, Kaufleute für Büromanagement;20;5;A
7;Debeka;Kaufleute für Versicherungen und Finanzen;20;3;C
8;Steuerberaterkammer Köln;Steuerfachangestellte ;20;3;A
9;Rechtsanwaltsberufe;Rechtsanwaltsfachangestellte ;20;3;A
10;Notarberufe;Notarfachangestellte ;20;2;A
11;Spedition Hammer Advanced Logistics;Kaufleute für Spedition und Lagerlogistik/Kaufleute für Büromanagement;20;3;A
12;Inform ;Kaufleute für Büromanagement/Duales Studium Wirtschaftsinformatik;20;5;A
13;Grün Software;Kaufleute für Büromanagement;20;5;A
14;Auto Thüllen;Automobilkaufleute;20;5;A
15;Unternehmen der Immobilienbranche;Immobilienkaufleute;20;3;A
16;Novotel und Quellenhof;Hotelfachangestellte;20;2;A
17;StädteRegion Aachen;Verwaltungsfachangestellte und duales Studium Bachelor of Laws/ Arts;20;5;A
18;Finanzamt;duales Studium Dipl. Finanzwirt*in;20;2;A
19;Finanzamt;Ausbildung Finanzwirt*in;20;2;C
20;Zoll Aachen;Beamt*in im mittleren und gehobenen Dienst;20;4;B
21;Polizei;Polizeikommissar*in;20;5;A
22;Arbeitsagentur;Fachangestellte für Arbeitsmarktdiestleistungen/Duale Studiengänge;20;5;A
23;Feuerwehr Aachen;Notfallsanitäter*in;20;5;A
24;OGS Kita;Erzieher*in;20;3;A
25;Azubis aus Zahnarztpraxen;Zahnmedizinische Fachangestellte;20;2;D
26;Azubis aus Arztpraxen;Medizinische Fachangestellte;20;2;D
27;Salon Haarscharf;Friseur*in;2;2;C
28;Quellenhof Aachen;Koch/Köchin;20;2;A
29;FH Aachen - Studienberatung;volle FHR-Reife Mindestvoraussetzung;20;5;A
30;RWTH-Studienberatung;Studium nur mit Abitur (allg. Hochschulreife);20;5;A
31;BWL, Wirtschaftsrecht und Global Business and Economics;;20;2;B
